Country,City,2012,2013,2014,2015,% of NY
01. Australia,Melbourne,349.9,405.1,366.9,273.0,72%
02. Australia,Sydney,858.6,933.2,863.9,880.4,232%
03. Brazil,Sao Paulo,439.5,576.6,522.7,340.5,90%
04. Canada,Montreal,238.1,235.9,195.8,189.0,50%
05. Canada,Toronto,199.2,227.2,228.6,204.8,54%
06. China,Beijing,406.3,356.0,362.6,391.4,103%
07. China,Shanghai,246.0,278.1,226.6,285.4,75%
08. France,Paris,483.7,422.1,605.6,466.6,123%
09. Germany,Berlin,327.8,385.5,416.5,324.4,86%
10. Germany,Frankfurt,314.4,308.4,368.6,284.3,75%
11. Hong Kong,Hong Kong,328.8,295.8,296.5,303.0,80%
12. India,Bangalore,225.0,216.0,208.4,183.4,48%
13. India,Mumbai,202.8,155.1,140.0,159.5,42%
14. India,New Delhi,227.1,162.4,250.1,175.5,46%
15. Japan,Tokyo,273.4,191.7,162.6,184.8,49%
16. Malaysia,Kuala Lumpur,69.3,82.1,82.3,77.5,20%
17. Mexico,Mexico City,120.0,100.0,280.0,290.0,77%
18. New Zealand,Auckland,166.6,159.4,192.5,198.7,52%
19. New Zealand,Wellington,234.8,156.1,188.2,157.3,42%
20. Russia,Moscow,866.4,525.0,905.6,345.4,91%
21. Singapore,Singapore,344.7,326.8,428.7,320.2,84%
22. South Africa,Cape Town,322.6,294.0,340.5,413.3,109%
23. South Africa,Johannesburg,305.2,280.5,272.4,243.8,64%
24. United Kingdom,London,458.8,545.9,703.7,608.2,160%
25. United States,Boston,249.0,319.0,312.6,313.0,83%
26. United States,Chicago,279.0,334.0,409.0,309.0,82%
27. United States,New York City,439.0,419.0,439.0,379.0,100%
28. United States,San Francisco,177.7,220.0,251.1,329.0,87%
