Country,City,2015,% of NY
01. Australia,Melbourne,23.8,119%
02. Australia,Sydney,20.0,100%
03. Brazil,Rio de Janeiro,9.2,46%
04. Brazil,Sao Paulo,14.8,74%
05. Canada,Ottawa,17.4,87%
06. Canada,Toronto,16.6,83%
07. China,Beijing,15.3,77%
08. China,Shanghai,24.3,121%
09. France,Paris,22.8,114%
10. Germany,Berlin,17.4,87%
11. Germany,Frankfurt,20.6,103%
12. Hong Kong,Hong Kong,24.2,121%
13. India,Bangalore,3.8,19%
14. India,Mumbai,3.7,18%
15. India,New Delhi,2.4,12%
16. Indonesia,Jakarta,7.3,37%
17. Japan,Tokyo,31.9,160%
18. Malaysia,Kuala Lumpur,10.8,54%
19. Mexico,Mexico City,8.2,41%
20. New Zealand,Auckland,18.1,90%
21. New Zealand,Wellington,25.6,128%
22. Philippines,Manila,5.7,28%
23. Russia,Moscow,13.8,69%
24. Singapore,Singapore,21.8,109%
25. South Africa,Cape Town,10.2,51%
26. South Africa,Johannesburg,9.0,45%
27. Switzerland,Zurich,49.8,249%
28. United Kingdom,Edinburgh,14.8,74%
29. United Kingdom,London,20.8,104%
30. United States,Boston,19.0,95%
31. United States,Chicago,24.0,120%
32. United States,New York City,20.0,100%
33. United States,San Francisco,29.0,145%
