Country,2015,% of NY
01. Australia,768.1,118%
02. Brazil,1254.0,193%
03. Canada,663.5,102%
04. China,862.4,133%
05. France,769.3,118%
06. Germany,758.4,117%
07. Hong Kong,720.6,111%
08. India,853.3,131%
09. Indonesia,863.9,133%
10. Japan,725.6,112%
11. Malaysia,686.3,106%
12. Mexico,787.3,121%
13. New Zealand,812.1,125%
14. Philippines,802.9,124%
15. Russia,932.4,143%
16. Singapore,718.9,111%
17. South Africa,818.3,126%
18. Switzerland,787.0,121%
19. United Kingdom,799.5,123%
20. United States,650.0,100%
