Date,"£bn
[HF6W]",OBR forecast
1/01/1997,335.1,
1/02/1997,338.5,
1/03/1997,347,
1/04/1997,352.7,
1/05/1997,357.8,
1/06/1997,364.5,
1/07/1997,360.7,
1/08/1997,362.3,
1/09/1997,364.8,
1/10/1997,359.4,
1/11/1997,362.8,
1/12/1997,364,
1/01/1998,352,
1/02/1998,350.7,
1/03/1998,358.6,
1/04/1998,355.9,
1/05/1998,358.8,
1/06/1998,365.2,
1/07/1998,360.5,
1/08/1998,361.7,
1/09/1998,363.4,
1/10/1998,356.5,
1/11/1998,358.6,
1/12/1998,361.2,
1/01/1999,349,
1/02/1999,349.2,
1/03/1999,357.8,
1/04/1999,355.1,
1/05/1999,356.8,
1/06/1999,362.8,
1/07/1999,356.6,
1/08/1999,356.6,
1/09/1999,357.5,
1/10/1999,348.6,
1/11/1999,349.9,
1/12/1999,360.2,
1/01/2000,343.7,
1/02/2000,341.6,
1/03/2000,349.1,
1/04/2000,342.7,
1/05/2000,329.9,
1/06/2000,337.8,
1/07/2000,330.1,
1/08/2000,330.1,
1/09/2000,321.8,
1/10/2000,316.2,
1/11/2000,317.4,
1/12/2000,327.6,
1/01/2001,310.5,
1/02/2001,309.7,
1/03/2001,316.4,
1/04/2001,312.9,
1/05/2001,315.9,
1/06/2001,324.4,
1/07/2001,316.5,
1/08/2001,316.1,
1/09/2001,317.9,
1/10/2001,312.6,
1/11/2001,318.2,
1/12/2001,328.5,
1/01/2002,318,
1/02/2002,315.3,
1/03/2002,323.1,
1/04/2002,320.7,
1/05/2002,323.7,
1/06/2002,330.1,
1/07/2002,324.2,
1/08/2002,327,
1/09/2002,333.6,
1/10/2002,340.3,
1/11/2002,346.5,
1/12/2002,357.5,
1/01/2003,345.5,
1/02/2003,343.8,
1/03/2003,354.9,
1/04/2003,348,
1/05/2003,352.9,
1/06/2003,363.1,
1/07/2003,362.2,
1/08/2003,365.3,
1/09/2003,373.2,
1/10/2003,372,
1/11/2003,378.8,
1/12/2003,393.1,
1/01/2004,378.6,
1/02/2004,379.6,
1/03/2004,393.6,
1/04/2004,391.1,
1/05/2004,395.5,
1/06/2004,406.5,
1/07/2004,400.3,
1/08/2004,403.1,
1/09/2004,412.8,
1/10/2004,410.8,
1/11/2004,420.2,
1/12/2004,435.1,
1/01/2005,417.8,
1/02/2005,418.1,
1/03/2005,431.8,
1/04/2005,431.2,
1/05/2005,436.2,
1/06/2005,447.9,
1/07/2005,439.6,
1/08/2005,445.2,
1/09/2005,455.7,
1/10/2005,450.9,
1/11/2005,459.6,
1/12/2005,475,
1/01/2006,452.9,
1/02/2006,455.1,
1/03/2006,470.7,
1/04/2006,469.5,
1/05/2006,477.2,
1/06/2006,492.3,
1/07/2006,479.2,
1/08/2006,483.6,
1/09/2006,495.4,
1/10/2006,486.8,
1/11/2006,495,
1/12/2006,509.2,
1/01/2007,488.7,
1/02/2007,490.1,
1/03/2007,507.5,
1/04/2007,502,
1/05/2007,509.4,
1/06/2007,520.5,
1/07/2007,507.7,
1/08/2007,515.2,
1/09/2007,522.8,
1/10/2007,520.2,
1/11/2007,529.5,
1/12/2007,545.3,
1/01/2008,522.6,
1/02/2008,526.5,
1/03/2008,537.8,
1/04/2008,536.6,
1/05/2008,548.9,
1/06/2008,563.9,
1/07/2008,553.6,
1/08/2008,559.3,
1/09/2008,576.7,
1/10/2008,571.3,
1/11/2008,580.9,
1/12/2008,612.2,
1/01/2009,599.4,
1/02/2009,606.6,
1/03/2009,633,
1/04/2009,626.6,
1/05/2009,641.7,
1/06/2009,662.9,
1/07/2009,665.3,
1/08/2009,668.1,
1/09/2009,687.5,
1/10/2009,695.3,
1/11/2009,709.2,
1/12/2009,740.9,
1/01/2010,792.2,
1/02/2010,799.9,
1/03/2010,828.4,
1/04/2010,833.5,
1/05/2010,846.4,
1/06/2010,870,
1/07/2010,900.4,
1/08/2010,909.8,
1/09/2010,936.3,
1/10/2010,939.1,
1/11/2010,956.3,
1/12/2010,984.2,
1/01/2011,970.6,
1/02/2011,977.4,
1/03/2011,1004.9,
1/04/2011,1007.9,
1/05/2011,1018.4,
1/06/2011,1040.4,
1/07/2011,1035.4,
1/08/2011,1051.2,
1/09/2011,1060.2,
1/10/2011,1057.6,
1/11/2011,1067.9,
1/12/2011,1093.6,
1/01/2012,1073.6,
1/02/2012,1079,
1/03/2012,1106.4,
1/04/2012,1089.3,
1/05/2012,1095.8,
1/06/2012,1118.5,
1/07/2012,1111.5,
1/08/2012,1119.2,
1/09/2012,1139.3,
1/10/2012,1142.7,
1/11/2012,1157.2,
1/12/2012,1182.4,
1/01/2013,1158.4,
1/02/2013,1160.7,
1/03/2013,1185.2,
1/04/2013,1182.5,
1/05/2013,1192.4,
1/06/2013,1207.3,
1/07/2013,1201.4,
1/08/2013,1202,
1/09/2013,1221.1,
1/10/2013,1217.1,
1/11/2013,1231.2,
1/12/2013,1254.7,
1/01/2014,1240.4,
1/02/2014,1246.8,1246.8
1/03/2014,,1258
1/03/2015,,1355
1/03/2016,,1439
1/03/2017,,1497
1/03/2018,,1530
1/03/2019,,1548
