Quarter,Year,Real Earnings Index (CPI),Projection (CPI),Real Earnings Index (RPI),Projection (RPI)
1992 Q2,1992,70.17528722,,80.30850327,
1992 Q3,,70.36772235,,80.48642794,
1992 Q4,,70.74567768,,81.07263115,
1993 Q1,1993,70.92672143,,81.90876165,
1993 Q2,,70.72869675,,81.89554715,
1993 Q3,,71.40210553,,82.54128386,
1993 Q4,,71.87531318,,82.99605371,
1994 Q1,1994,72.12014384,,83.2620292,
1994 Q2,,71.23351231,,81.98685211,
1994 Q3,,72.25287729,,83.10258896,
1994 Q4,,72.82031243,,83.43534201,
1995 Q1,1995,72.73058057,,83.28122475,
1995 Q2,,72.10351821,,82.21798508,
1995 Q3,,72.29304127,,82.40509654,
1995 Q4,,72.81277766,,83.27112238,
1996 Q1,1996,72.45789217,,82.9013028,
1996 Q2,,72.42538954,,82.77219743,
1996 Q3,,73.41718579,,83.83621455,
1996 Q4,,73.22836655,,83.60264275,
1997 Q1,1997,74.80427746,,84.90561162,
1997 Q2,,74.14389552,,83.83181724,
1997 Q3,,74.40485889,,83.60923046,
1997 Q4,,75.8881843,,85.05230556,
1998 Q1,1998,77.81060748,,86.74236245,
1998 Q2,,78.28817625,,86.71519672,
1998 Q3,,79.42128008,,87.60551678,
1998 Q4,,79.98457681,,88.33283887,
1999 Q1,1999,80.81146649,,89.52992004,
1999 Q2,,80.9777691,,89.70718131,
1999 Q3,,81.53994545,,89.98294431,
1999 Q4,,82.01058328,,90.33795289,
2000 Q1,2000,83.72451174,,91.44462804,
2000 Q2,,83.72548946,,90.46420347,
2000 Q3,,85.84648653,,92.59308582,
2000 Q4,,87.07421314,,93.81782811,
2001 Q1,2001,89.50803287,,96.03663809,
2001 Q2,,88.07385006,,94.76056082,
2001 Q3,,88.46718918,,95.12905958,
2001 Q4,,88.50029095,,95.37498378,
2002 Q1,2002,88.44886484,,95.26475004,
2002 Q2,,88.78252535,,95.28216471,
2002 Q3,,89.74824577,,96.09196076,
2002 Q4,,89.86424458,,95.8514916,
2003 Q1,2003,90.14436974,,95.61372733,
2003 Q2,,91.51955582,,96.54763509,
2003 Q3,,92.58846021,,97.60830123,
2003 Q4,,92.06811673,,96.97433471,
2004 Q1,2004,92.58098596,,96.93731221,
2004 Q2,,93.85505697,,97.75057321,
2004 Q3,,94.29297427,,97.63021335,
2004 Q4,,94.03267323,,97.12325248,
2005 Q1,2005,94.17755459,,97.21309821,
2005 Q2,,93.68618587,,96.56383077,
2005 Q3,,93.76725461,,96.77808962,
2005 Q4,,94.77509564,,97.65029444,
2006 Q1,2006,96.08419368,,98.74421711,
2006 Q2,,96.42283179,,98.64318767,
2006 Q3,,96.5043043,,98.55551112,
2006 Q4,,97.2536946,,99.05007584,
2007 Q1,2007,98.75312323,,99.8807909,
2007 Q2,,98.67299914,,99.24503694,
2007 Q3,,100,,100,
2007 Q4,,99.51975786,,99.27210445,
2008 Q1,2008,99.28272517,,98.89136858,
2008 Q2,,97.65074345,,97.25420661,
2008 Q3,,96.4795884,,96.38977005,
2008 Q4,,96.39007993,,97.23795583,
2009 Q1,2009,94.73999722,,97.30216964,
2009 Q2,,97.17810262,,100.0941501,
2009 Q3,,97.30451049,,100.0119212,
2009 Q4,,97.42890474,,99.69704712,
2010 Q1,2010,96.12784547,,97.98349652,
2010 Q2,,95.69578896,,96.98168795,
2010 Q3,,95.1724524,,96.27349701,
2010 Q4,,94.44409652,,95.47305278,
2011 Q1,2011,93.28745521,,94.0708459,
2011 Q2,,92.45553554,,93.04705735,
2011 Q3,,93.71485116,,94.34523015,
2011 Q4,,93.24071795,,93.8521843,
2012 Q1,2012,93.19259433,,93.72028073,
2012 Q2,,92.81315707,,93.09543464,
2012 Q3,,92.62930346,,92.79337382,
2012 Q4,,91.1982012,,91.3837406,
2013 Q1,2013,90.31822813,,90.42352594,
2013 Q2,,92.52947204,,92.44437727,
2013 Q3,,91.80626584,91.80626584,91.5729384,91.5729384
2013 Q4,,,92.17629881,,91.35942796
2014 Q1,2014,,92.19627348,,91.67277807
2014 Q2,,,92.00424779,,91.29250403
2014 Q3,,,92.33208112,,91.46845934
2014 Q4,,,92.83063967,,91.38084656
2015 Q1,2015,,93.24772469,,91.81720701
2015 Q2,,,93.1807727,,91.47344898
2015 Q3,,,93.40897659,,91.37075294
2015 Q4,,,93.96885396,,91.16068633
2016 Q1,2016,,94.60116548,,91.71127635
2016 Q2,,,94.58337494,,91.41636949
2016 Q3,,,95.02018848,,91.42308935
2016 Q4,,,95.63735563,,91.3464411
2017 Q1,2017,,96.24609881,,91.77635413
2017 Q2,,,96.19670527,,91.45148801
2017 Q3,,,96.60730855,,91.33827523
2017 Q4,,,97.27912799,,91.2154417
2018 Q1,2018,,97.8647459,,91.61330758
2018 Q2,,,97.93213664,,91.39878712
2018 Q3,,,98.38979634,,91.32244055
2018 Q4,,,99.03983619,,91.16816931
2019 Q1,2019,,99.60230147,,91.53481076
