Years,Quarters,1930 Q1,1973 Q2,1979 Q2,1990 Q2,2008 Q1,OBR forecast
0,0,0,0,0,0,0,
0.25,1,-0.008654207,-0.007314862,-0.02331443,-0.010584166,-0.009030363,
0.5,2,-0.02069336,-0.008581612,-0.012964853,-0.015876249,-0.023320587,
0.75,3,-0.037464616,-0.032500838,-0.022266089,-0.018044858,-0.044293839,
1,4,-0.058132397,-0.013797643,-0.03968639,-0.021329599,-0.067879201,
1.25,5,-0.06374271,-0.003539449,-0.041677122,-0.024240881,-0.071827916,
1.5,6,-0.067102077,-0.015281728,-0.052528564,-0.021389013,-0.071868651,
1.75,7,-0.060289554,-0.012058966,-0.058695931,-0.015859274,-0.067922482,
2,8,-0.058567238,-0.027725686,-0.057067657,-0.014772848,-0.063019049,
2.25,9,-0.064706183,-0.029414687,-0.044437381,-0.006293632,-0.053482049,
2.5,10,-0.069276287,-0.015983408,-0.044292398,0.002609969,-0.049673359,
2.75,11,-0.054159135,0.000738938,-0.040461493,0.013117746,-0.051572612,
3,12,-0.054491661,-0.008010333,-0.028143489,0.020064931,-0.047155449,
3.25,13,-0.039707036,0.00098732,-0.0279762,0.030513294,-0.046228735,
3.5,14,-0.02381399,0.021621689,-0.022678734,0.040409956,-0.04054116,
3.75,15,-0.009336312,0.023968903,-0.007918319,0.054911197,-0.041559526,
4,16,0.009592101,0.019330361,8.36E-05,0.070503109,-0.041623174,
4.25,17,0.02365199,0.027359322,0.012362614,0.086290237,-0.045324935,
4.5,18,0.032502302,0.041666149,0.024987314,0.095694612,-0.037931596,
4.75,19,0.037976195,0.046497187,0.035515332,0.10050714,-0.039983604,
5,20,0.042179666,0.05648216,0.028935321,0.10801027,-0.036526251,
5.25,21,0.059854712,0.068019523,0.034193753,0.122261124,-0.02919656,
5.5,22,0.071211759,0.076228561,0.049467186,0.128817875,-0.021011441,
5.75,23,0.082227755,0.067578644,0.062515683,0.141668258,-0.014379331,-0.014379331
6,24,0.09356775,0.113566647,0.079411814,0.147516286,-0.006494631,-0.007511781
6.25,25,0.111720269,0.087604476,0.079590255,0.157052221,,-0.001661645
6.5,26,0.125933631,0.09912942,0.087056895,0.169058077,,0.003934137
6.75,27,0.127186999,0.088771873,0.10312216,0.185371443,,0.009529919
7,28,0.135875311,0.069373207,0.117804507,0.199367666,,0.015380054
7.25,29,0.152544252,0.067156394,0.126074131,0.209098818,,0.02123019
7.5,30,0.16315951,0.05507259,0.146979608,0.222242027,,0.027589033
7.75,31,0.162869616,0.048204816,0.153593076,0.232193859,,0.033693522
8,32,0.163040142,0.050018008,0.167790287,0.241589747,,0.040306719
8.25,33,0.158299512,0.064082662,0.195476521,0.250811637,,0.047174269
8.5,34,0.161164353,0.06424411,0.208781527,0.263275829,,0.05404182
8.75,35,0.167746666,0.068510078,0.229921207,0.267239587,,0.061163724
